"GEOID","population","percent_female","percent_white","population_under_15","X","Y"
510010901001,778,51.0282776349614,92.0308483290488,126,-75.3505525658174,37.9630205686521
510010901002,699,54.3633762517883,99.1416309012876,0,-75.3753184422298,37.9288588409268
510010901003,943,53.5524920466596,93.4252386002121,101,-75.3669896517893,37.9199463683961
510010901004,479,60.125260960334,85.3862212943633,71,-75.3954211122431,37.9097880167359
510010902001,493,48.0730223123732,8.72210953346856,0,-75.5705649024033,37.9767964488776
510010902002,3004,52.8628495339547,87.8162450066578,505,-75.445057239854,37.9784972801031
510010902003,2274,62.8847845206684,56.6842568161829,233,-75.5394246363385,37.9117463339744
510010903001,557,44.524236983842,82.7648114901257,43,-75.6663866862355,37.9219201687001
510010903002,811,62.1454993834772,61.652281134402,185,-75.5892305692191,37.888106352525
510010903003,1071,51.4472455648926,86.2745098039216,182,-75.647011236486,37.8581519486863
510010904001,1313,49.7334348819497,61.8431073876618,247,-75.5520502610236,37.8392233822401
510010904002,1198,39.5659432387312,76.2103505843072,176,-75.5763452912991,37.8005479419083
510010904003,2452,42.7406199021207,36.9494290375204,665,-75.6033651966396,37.7482373462519
510010904004,1640,54.2073170731707,74.2682926829268,535,-75.6328597281639,37.6799165010722
510010905001,800,59.125,82.25,206,-75.6858929275515,37.8124934583661
510010905002,1100,41.1818181818182,65.7272727272727,180,-75.6486760438168,37.7930520149512
510010905003,626,44.2492012779553,47.444089456869,87,-75.6814980098178,37.7484094232327
510010906001,506,52.7667984189723,100,59,-76.0013501022664,37.8813994630864
510010906002,1049,51.4775977121068,74.1658722592946,94,-75.7540791700534,37.755933961684
510010906003,1022,49.706457925636,74.0704500978474,131,-75.744674875999,37.7092943497377
510010906004,1149,58.7467362924282,96.5187119234117,71,-75.7912952179753,37.6936665570643
510010907001,1279,56.4503518373729,83.7372947615324,299,-75.7100375279012,37.6749242860272
510010907002,512,48.2421875,79.8828125,19,-75.7404477209313,37.6470413082715
510010907003,506,38.9328063241107,23.5177865612648,101,-75.7701854370224,37.6178098939049
510010907004,971,54.2739443872297,46.4469618949537,234,-75.7921308331964,37.6575079761373
510010907005,2012,49.6023856858847,53.727634194831,570,-75.8725929969619,37.6006059337745
510010908001,646,50.1547987616099,73.0650154798762,47,-75.679131803907,37.625952198507
