"GEOID","population","percent_female","percent_white","population_under_15","daycares_3sfca","daycare_3sfca","TRACTCE","COUNTYFP"
510010901001,778,51.0282776349614,92.0308483290488,126,1.03055350178701,1.03055350178701,"51001090100","51001"
510010901002,699,54.3633762517883,99.1416309012876,0,1.32981977717222,1.32981977717222,"51001090100","51001"
510010901003,943,53.5524920466596,93.4252386002121,101,1.14034255129792,1.14034255129792,"51001090100","51001"
510010901004,479,60.125260960334,85.3862212943633,71,0.898313856016809,0.898313856016809,"51001090100","51001"
510010902001,493,48.0730223123732,8.72210953346856,0,1.89248833953255,1.89248833953255,"51001090200","51001"
510010902002,3004,52.8628495339547,87.8162450066578,505,2.43405204279408,2.43405204279408,"51001090200","51001"
510010902003,2274,62.8847845206684,56.6842568161829,233,2.82727513473115,2.82727513473115,"51001090200","51001"
510010903001,557,44.524236983842,82.7648114901257,43,1.73652371128997,1.73652371128997,"51001090300","51001"
510010903002,811,62.1454993834772,61.652281134402,185,2.89657740477864,2.89657740477864,"51001090300","51001"
510010903003,1071,51.4472455648926,86.2745098039216,182,2.02936594344572,2.02936594344572,"51001090300","51001"
510010904001,1313,49.7334348819497,61.8431073876618,247,2.72389537549952,2.72389537549952,"51001090400","51001"
510010904002,1198,39.5659432387312,76.2103505843072,176,2.76663181840515,2.76663181840516,"51001090400","51001"
510010904003,2452,42.7406199021207,36.9494290375204,665,2.83198710909229,2.8319871090924,"51001090400","51001"
510010904004,1640,54.2073170731707,74.2682926829268,535,2.26093106867903,2.26093106867919,"51001090400","51001"
510010905001,800,59.125,82.25,206,2.48913731912663,2.48913731912665,"51001090500","51001"
510010905002,1100,41.1818181818182,65.7272727272727,180,2.97245105282617,2.97245105282629,"51001090500","51001"
510010905003,626,44.2492012779553,47.444089456869,87,3.00672799598531,3.00672799598616,"51001090500","51001"
510010906001,506,52.7667984189723,100,59,3.70074944228193,3.70074944228199,"51001090600","51001"
510010906002,1049,51.4775977121068,74.1658722592946,94,2.58949718239078,2.58949718239096,"51001090600","51001"
510010906003,1022,49.706457925636,74.0704500978474,131,2.89962307547657,2.8996230754791,"51001090600","51001"
510010906004,1149,58.7467362924282,96.5187119234117,71,2.07017893675743,2.07017893675792,"51001090600","51001"
510010907001,1279,56.4503518373729,83.7372947615324,299,2.76398021847347,2.76398021847698,"51001090700","51001"
510010907002,512,48.2421875,79.8828125,19,3.03767687376975,3.03767687379749,"51001090700","51001"
510010907003,506,38.9328063241107,23.5177865612648,101,3.19675924140262,3.19675924147122,"51001090700","51001"
510010907004,971,54.2739443872297,46.4469618949537,234,2.46825945954699,2.46825945956057,"51001090700","51001"
510010907005,2012,49.6023856858847,53.727634194831,570,2.18638521001136,2.18638521004195,"51001090700","51001"
510010908001,646,50.1547987616099,73.0650154798762,47,1.85152319130582,1.85152319130838,"51001090800","51001"
510010908002,2019,50.4210004952947,53.4422981674096,469,2.51373719660699,2.51373719664431,"51001090800","51001"
510010908003,764,42.0157068062827,48.2984293193717,112,3.79024072984688,3.79024073012081,"51001090800","51001"
510030101001,1968,50.9654471544715,96.5447154471545,245,2.70271307880535,2.70271307880535,"51003010100","51003"
510030101002,1307,51.5684774292272,84.4682478959449,229,1.2615973978823,1.2615973978823,"51003010100","51003"
510030101003,1827,55.3366174055829,89.9288451012589,266,2.98951436668837,2.98951436668837,"51003010100","51003"
510030102011,3012,55.4780876494024,86.6533864541833,604,3.31225246732263,3.31225246732494,"51003010201","51003"
510030102012,1795,55.5988857938719,95.7103064066852,280,3.50940929989588,3.50940929989637,"51003010201","51003"
510030102021,1113,47.3495058400719,91.4645103324349,117,3.95048777622352,3.95048777622369,"51003010202","51003"
510030102022,1988,51.7605633802817,91.046277665996,326,3.38561985977201,3.38561985977203,"51003010202","51003"
510030103001,2050,53.4634146341463,85.4634146341463,497,4.58398709511178,4.58398709511259,"51003010300","51003"
510030103002,942,46.7091295116773,87.8980891719745,149,4.35695813921667,4.3569581392173,"51003010300","51003"
510030103003,1741,58.6444572085009,86.674325100517,404,4.76849303948293,4.7684930394841,"51003010300","51003"
510030103004,1715,56.8513119533528,80.6413994169096,239,4.87971255813067,4.87971255813161,"51003010300","51003"
510030103005,2067,53.5074987905177,81.422351233672,574,4.73415449456891,4.73415449456954,"51003010300","51003"
510030104011,1864,48.7660944206009,94.8497854077253,255,3.23960961574306,3.23960961575828,"51003010401","51003"
510030104012,1187,49.7051390058972,95.7034540859309,329,2.83989616222301,2.83989616253826,"51003010401","51003"
510030104013,1124,50.355871886121,72.6868327402135,150,3.83717102391389,3.83717102407755,"51003010401","51003"
510030104021,795,54.3396226415094,86.4150943396226,77,3.72588945494818,3.72588945498802,"51003010402","51003"
510030104022,2205,53.8775510204082,87.5283446712018,257,3.43152665636846,3.43152665655072,"51003010402","51003"
510030105001,1261,48.8501189532117,91.4353687549564,205,4.07810316581437,4.07810316581896,"51003010500","51003"
510030105002,3409,50.425344675858,79.2021120563215,654,4.64616473299535,4.6461647330146,"51003010500","51003"
510030105003,822,65.8150851581509,74.330900243309,45,4.8221032091167,4.82210320917803,"51003010500","51003"
510030106011,794,51.5113350125945,82.7455919395466,49,5.02285362207351,5.02285362207458,"51003010601","51003"
510030106012,3703,51.7418309478801,67.6478530920875,1067,4.90601451968549,4.90601451968694,"51003010601","51003"
510030106013,1833,65.0845608292417,74.6317512274959,161,5.34510869447597,5.3451086944789,"51003010601","51003"
510030106021,2504,56.3099041533546,82.2683706070288,464,4.78716248997248,4.78716248997477,"51003010602","51003"
